image	exit_code	valid_observation	tag_detected	outer_success	valid_points	valid_internal_points	overlay	canonical_copy	log
image1-1	0	yes	yes	yes	29	29	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-1_detected_20260416_1609.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-1_apriltag_internal_canonical_20260416_1609.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-1.log
image1-2	2	no	yes	yes	0	0	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-2_detected_20260416_1609.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-2_apriltag_internal_canonical_20260416_1609.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-2.log
image1-3	2	no	yes	yes	1	1	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-3_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-3_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-3.log
image1-4	2	no	yes	yes	1	1	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-4_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-4_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image1-4.log
image2-1	0	yes	yes	yes	33	33	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-1_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-1_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-1.log
image2-2	2	no	yes	yes	0	0	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-2_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-2_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-2.log
image2-3	2	no	yes	yes	9	9	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-3_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-3_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-3.log
image2-4	2	no	yes	yes	7	7	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-4_detected_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-4_apriltag_internal_canonical_20260416_1610.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image2-4.log
image3-1	0	yes	yes	yes	17	17	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-1_detected_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-1_apriltag_internal_canonical_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-1.log
image3-2	2	no	yes	yes	0	0	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-2_detected_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-2_apriltag_internal_canonical_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-2.log
image3-3	0	yes	yes	yes	14	14	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-3_detected_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-3_apriltag_internal_canonical_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-3.log
image3-4	0	yes	yes	yes	27	27	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-4_detected_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-4_apriltag_internal_canonical_20260416_1611.png	/Users/linzhaoxian/lzx-ws/project/calibr/tartancalib/result/detect_batch_cs_20260416_160937/image3-4.log
